Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Tranche d’âge (product.metafields.shopify.age-group),Options de fixation (product.metafields.shopify.attachment-options),Conception du bracelet (product.metafields.shopify.bracelet-design),Couleur (product.metafields.shopify.color-pattern),Conception de boucle d’oreille (product.metafields.shopify.earring-design),Tissu (product.metafields.shopify.fabric),Couleur de l’encre (product.metafields.shopify.ink-color),Matériau du bijou (product.metafields.shopify.jewelry-material),Type de bijoux (product.metafields.shopify.jewelry-type),Matériel (product.metafields.shopify.material),Couleur du stylo (product.metafields.shopify.pen-color),Conception de la pointe du stylo (product.metafields.shopify.pen-tip-design),Sexe cible (product.metafields.shopify.target-gender),Parfum des lingettes (product.metafields.shopify.wipe-fragrance),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
✨-marque-page-en-resine-piece-unique,,,,,,,,,Marque-page 🪶léopard,,,,,,,,,0.0,shopify,1,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-8032.heic?v=1770189575,7,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-8032.heic?v=1770189575,kg,,,
✨-marque-page-en-resine-piece-unique,,,,,,,,,Marque-page 🪶paillettes rose/bleu,,,,,,,,,0.0,shopify,1,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender_fe7f0d43-4710-4be9-a688-6219d8f9b739.heic?v=1770189653,8,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender_fe7f0d43-4710-4be9-a688-6219d8f9b739.heic?v=1770189653,kg,,,
✨-marque-page-en-resine-piece-unique,,,,,,,,,Marque-page🪶 rose argent,,,,,,,,,0.0,shopify,1,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender_1ee32242-3113-4c3e-a394-4f586ac634c1.heic?v=1770189708,9,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender_1ee32242-3113-4c3e-a394-4f586ac634c1.heic?v=1770189708,kg,,,
✨-marque-page-en-resine-piece-unique,,,,,,,,,Marque-page 🪶or/rose,,,,,,,,,0.0,shopify,1,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender_4d734b10-4bf9-4114-823c-3a769f5281cd.heic?v=1770189735,10,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/FullSizeRender_4d734b10-4bf9-4114-823c-3a769f5281cd.heic?v=1770189735,kg,,,
🌿-marque-page-en-bois-creation-artisanale,🌿 Marque-page en bois – Création artisanale,"<p><span>Apporte une touche de douceur à tes moments de lecture avec ce marque-page en bois, décoré avec soin et pensé comme un petit objet plaisir.</span></p>
<p><span>Chaque pièce est créée à la main, avec un design délicat et un message inspirant. Le nœud en tissu apporte une finition élégante et chaleureuse, idéale pour un cadeau attentionné ou pour se faire plaisir.</span></p>
<p><span>✨ Parfait pour accompagner tes lectures du quotidien ou offrir à une amoureuse des livres.</span></p>
<p><span>Détails :</span></p>
<p> </p>
<ul>
<li><span>Marque-page en bois</span></li>
<li><span>Nœud en tissu </span></li>
<li><span>Création artisanale</span></li>
<li><span>Vendu à l’unité</span></li>
</ul>
<p>💛 Chaque modèle peut présenter de légères variations, faisant tout son charme.<br><span></span></p>
<p> </p>",JOLANANAS,Office Supplies > Book Accessories > Bookmarks,Marque-page,"",true,Marque page,Marque-page bois 🎀 rose,,,,,,,,,0.0,shopify,2,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-8018.heic?v=1770133392,1,"",false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-8018.heic?v=1770133392,kg,,,active
🌿-marque-page-en-bois-creation-artisanale,,,,,,,,,Marque-page bois noeud léopard,,,,,,,,,0.0,shopify,2,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-8020.heic?v=1770133710,2,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-8020.heic?v=1770133710,kg,,,
creoles-en-acier-inoxydable,Créoles en acier inoxydable,"<h3 data-start=""249"" data-end=""309"">Créoles en acier inoxydable : Compatibles avec les pampilles.</h3>
<p><span>Intemporelles, élégantes et faciles à porter, les créoles en acier inoxydable sont des indispensables du quotidien. Leur design épuré s’adapte à tous les styles, du plus minimal au plus affirmé, et sublime aussi bien une tenue décontractée qu’un look plus habillé.</span></p>
<p>Légères et confortables, les créoles sont pensées pour être portées avec les pampilles, mais peuvent également être portées seules pour un rendu plus minimaliste. Leur fermoir clic sécurisé et leur finition soignée offrent un confort optimal au quotidien.<br><span></span></p>
<p>Durables et faciles à vivre, elles deviendront rapidement un essentiel de ta collection.<br><span></span></p>
<p>Détails :<br><span></span></p>
<p> </p>
<ul>
<li><span>Matériau : acier inoxydable</span></li>
<li><span>Fermoir : clic sécurisé</span></li>
<li><span>Couleurs : doré / argent / couleurs</span></li>
<li><span>Vendues par paire</span></li>
</ul>
<p>Ces créoles conviennent parfaitement aux personnes ayant une peau sensible ou des allergies aux métaux, et sont également adaptées aux enfants.<br><span></span></p>
<p> </p>
<p>Compatibles avec tous les types de pampilles.<br><span></span></p>
<p><span>⚠️ À noter : les créoles de petite taille ou les créoles colorées ne sont pas compatibles avec toutes les pampilles.</span></p>
<p>Conseils d’entretien :<br><span></span></p>
<p><span>Évitez tout contact prolongé avec des produits chimiques agressifs (chlore, parfum, produits ménagers).</span></p>
<p> </p>",JOLANANAS,Apparel & Accessories > Jewelry > Earrings,"","",true,Cœur,Créoles cœur ❤️ dorées ≈ 20 mm,,,,,,,,,0.0,shopify,6,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7927.heic?v=1770114781,1,"",false,,,tous-ages-1,,,argent; multicolore; or,solitaire,,,acier-inoxydable,bijoux,,,,unisexe-1,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7927.heic?v=1770114781,kg,,,active
creoles-en-acier-inoxydable,,,,,,,,,Créoles torsadées ≈16mm,,,,,,,,,0.0,shopify,5,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7928.heic?v=1770115010,2,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7928.heic?v=1770115010,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles rectangulaires ≈ 17× 11mm,,,,,,,,,0.0,shopify,14,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7929.heic?v=1770115232,3,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7929.heic?v=1770115232,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles rondes dorées ≈ 18 mm,,,,,,,,,0.0,shopify,4,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7930.heic?v=1770115394,4,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7930.heic?v=1770115394,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles rondes dorées ≈ 15mm,,,,,,,,,0.0,shopify,17,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7931.heic?v=1770115540,5,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7931.heic?v=1770115540,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles rondes dorées ≈ 17mm,,,,,,,,,0.0,shopify,9,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7932.heic?v=1770115686,6,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7932.heic?v=1770115686,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles rondes dorées ≈ 13mm,,,,,,,,,0.0,shopify,27,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7933.heic?v=1770115836,7,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7933.heic?v=1770115836,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles martelées dorées ≈15mm,,,,,,,,,0.0,shopify,5,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7934.heic?v=1770116036,8,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7934.heic?v=1770116036,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles martelées dorées ≈22mm,,,,,,,,,0.0,shopify,4,deny,manual,12.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7935_bfa3caeb-4132-4409-89e8-4b5f807e4b5e.heic?v=1770116186,9,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7935_bfa3caeb-4132-4409-89e8-4b5f807e4b5e.heic?v=1770116186,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles martelées dorées ≈ 11 mm,,,,,,,,,0.0,shopify,10,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7936.heic?v=1770116334,10,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7936.heic?v=1770116334,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles rouge ≈12mm,,,,,,,,,0.0,shopify,5,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7937.heic?v=1770116591,11,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7937.heic?v=1770116591,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles violette  ≈12mm,,,,,,,,,0.0,shopify,3,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7938.heic?v=1770116695,12,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7938.heic?v=1770116695,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles blanche  ≈12mm,,,,,,,,,0.0,shopify,4,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7939.heic?v=1770116805,13,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7939.heic?v=1770116805,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles verte  ≈12mm,,,,,,,,,0.0,shopify,8,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7940.heic?v=1770116905,14,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7940.heic?v=1770116905,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles vert d’eau  ≈12mm,,,,,,,,,0.0,shopify,6,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7941.heic?v=1770116994,15,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7941.heic?v=1770116994,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles vert foncé,,,,,,,,,0.0,shopify,6,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7942.heic?v=1770117097,16,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7942.heic?v=1770117097,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles bleu clair  ≈12mm,,,,,,,,,0.0,shopify,7,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7943.heic?v=1770117186,17,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7943.heic?v=1770117186,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles bleu turquoise  ≈12mm,,,,,,,,,0.0,shopify,10,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7944.heic?v=1770117295,18,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7944.heic?v=1770117295,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles bleu  ≈12mm,,,,,,,,,0.0,shopify,6,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7945.heic?v=1770117369,19,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7945.heic?v=1770117369,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles bleu paon  ≈12mm,,,,,,,,,0.0,shopify,7,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7959.heic?v=1770117539,20,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7959.heic?v=1770117539,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles rose clair  ≈12mm,,,,,,,,,0.0,shopify,9,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7946.heic?v=1770117641,21,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7946.heic?v=1770117641,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles rose fuchsia ≈12mm,,,,,,,,,0.0,shopify,9,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7947.heic?v=1770117684,22,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7947.heic?v=1770117684,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles lilas  ≈12mm,,,,,,,,,0.0,shopify,4,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7948.heic?v=1770117751,23,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7948.heic?v=1770117751,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles jaune  ≈12mm,,,,,,,,,0.0,shopify,13,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7950.heic?v=1770118013,24,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7950.heic?v=1770118013,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles moutarde  ≈12mm,,,,,,,,,0.0,shopify,6,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7949.heic?v=1770118051,25,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7949.heic?v=1770118051,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles orange  ≈12mm,,,,,,,,,0.0,shopify,5,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7951.heic?v=1770118087,26,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7951.heic?v=1770118087,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles Argentées  ≈16mm,,,,,,,,,0.0,shopify,12,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7952.heic?v=1770118144,27,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7952.heic?v=1770118144,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles torsadées argentées ≈15mm,,,,,,,,,0.0,shopify,6,deny,manual,9.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7953.heic?v=1770118382,28,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7953.heic?v=1770118382,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles argentées ≈13mm,,,,,,,,,0.0,shopify,8,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7954.heic?v=1770118617,29,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7954.heic?v=1770118617,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles 🤍 argentées ≈20mm,,,,,,,,,0.0,shopify,10,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7955.heic?v=1770118685,30,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7955.heic?v=1770118685,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles rectangle argentées ≈ 17x11mm,,,,,,,,,0.0,shopify,10,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7956.heic?v=1770118850,31,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7956.heic?v=1770118850,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles argentées ≈12mm,,,,,,,,,0.0,shopify,8,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7963.heic?v=1770119420,32,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7963.heic?v=1770119420,kg,,,
creoles-en-acier-inoxydable,,,,,,,,,Créoles argentées carré ≈11x11mm,,,,,,,,,0.0,shopify,4,deny,manual,8.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7965.heic?v=1770119613,33,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0908/5508/0263/files/IMG-7965.heic?v=1770119613,kg,,,
